dateid01	hstarts	ur
1959-01-01	1657	6.0000000
1959-02-01	1667	5.9000001
1959-03-01	1620	5.5999999
1959-04-01	1590	5.1999998
1959-05-01	1498	5.0999999
1959-06-01	1503	5.0000000
1959-07-01	1547	5.0999999
1959-08-01	1430	5.1999998
1959-09-01	1540	5.5000000
1959-10-01	1355	5.6999998
1959-11-01	1416	5.8000002
1959-12-01	1601	5.3000002
1960-01-01	1460	5.1999998
1960-02-01	1503	4.8000002
1960-03-01	1109	5.4000001
1960-04-01	1289	5.1999998
1960-05-01	1271	5.0999999
1960-06-01	1247	5.4000001
1960-07-01	1197	5.5000000
1960-08-01	1344	5.5999999
1960-09-01	1097	5.5000000
1960-10-01	1246	6.0999999
1960-11-01	1246	6.0999999
1960-12-01	1063	6.5999999
1961-01-01	1183	6.5999999
1961-02-01	1226	6.9000001
1961-03-01	1312	6.9000001
1961-04-01	1166	7.0000000
1961-05-01	1228	7.0999999
1961-06-01	1382	6.9000001
1961-07-01	1335	7.0000000
1961-08-01	1312	6.5999999
1961-09-01	1429	6.6999998
1961-10-01	1415	6.5000000
1961-11-01	1385	6.0999999
1961-12-01	1365	6.0000000
1962-01-01	1361	5.8000002
1962-02-01	1278	5.5000000
1962-03-01	1443	5.5999999
1962-04-01	1524	5.5999999
1962-05-01	1483	5.5000000
1962-06-01	1404	5.5000000
1962-07-01	1450	5.4000001
1962-08-01	1517	5.6999998
1962-09-01	1324	5.5999999
1962-10-01	1533	5.4000001
1962-11-01	1622	5.6999998
1962-12-01	1564	5.5000000
1963-01-01	1244	5.6999998
1963-02-01	1456	5.9000001
1963-03-01	1534	5.6999998
1963-04-01	1689	5.6999998
1963-05-01	1641	5.9000001
1963-06-01	1588	5.5999999
1963-07-01	1614	5.5999999
1963-08-01	1639	5.4000001
1963-09-01	1763	5.5000000
1963-10-01	1779	5.5000000
1963-11-01	1622	5.6999998
1963-12-01	1491	5.5000000
1964-01-01	1603	5.5999999
1964-02-01	1820	5.4000001
1964-03-01	1517	5.4000001
1964-04-01	1448	5.3000002
1964-05-01	1467	5.0999999
1964-06-01	1550	5.1999998
1964-07-01	1562	4.9000001
1964-08-01	1569	5.0000000
1964-09-01	1455	5.0999999
1964-10-01	1524	5.0999999
1964-11-01	1486	4.8000002
1964-12-01	1484	5.0000000
1965-01-01	1361	4.9000001
1965-02-01	1433	5.0999999
1965-03-01	1423	4.6999998
1965-04-01	1438	4.8000002
1965-05-01	1478	4.5999999
1965-06-01	1488	4.5999999
1965-07-01	1529	4.4000001
1965-08-01	1432	4.4000001
1965-09-01	1482	4.3000002
1965-10-01	1452	4.1999998
1965-11-01	1460	4.0999999
1965-12-01	1656	4.0000000
1966-01-01	1370	4.0000000
1966-02-01	1378	3.8000000
1966-03-01	1394	3.8000000
1966-04-01	1352	3.8000000
1966-05-01	1265	3.9000001
1966-06-01	1194	3.8000000
1966-07-01	1086	3.8000000
1966-08-01	1119	3.8000000
1966-09-01	1046	3.7000000
1966-10-01	843	3.7000000
1966-11-01	961	3.5999999
1966-12-01	990	3.8000000
1967-01-01	1067	3.9000001
1967-02-01	1123	3.8000000
1967-03-01	1056	3.8000000
1967-04-01	1091	3.8000000
1967-05-01	1304	3.8000000
1967-06-01	1248	3.9000001
1967-07-01	1364	3.8000000
1967-08-01	1407	3.8000000
1967-09-01	1421	3.8000000
1967-10-01	1491	4.0000000
1967-11-01	1538	3.9000001
1967-12-01	1308	3.8000000
1968-01-01	1380	3.7000000
1968-02-01	1520	3.8000000
1968-03-01	1466	3.7000000
1968-04-01	1554	3.5000000
1968-05-01	1408	3.5000000
1968-06-01	1405	3.7000000
1968-07-01	1512	3.7000000
1968-08-01	1495	3.5000000
1968-09-01	1556	3.4000001
1968-10-01	1569	3.4000001
1968-11-01	1630	3.4000001
1968-12-01	1548	3.4000001
1969-01-01	1769	3.4000001
1969-02-01	1705	3.4000001
1969-03-01	1561	3.4000001
1969-04-01	1524	3.4000001
1969-05-01	1583	3.4000001
1969-06-01	1528	3.5000000
1969-07-01	1368	3.5000000
1969-08-01	1358	3.5000000
1969-09-01	1507	3.7000000
1969-10-01	1381	3.7000000
1969-11-01	1229	3.5000000
1969-12-01	1327	3.5000000
1970-01-01	1085	3.9000001
1970-02-01	1305	4.1999998
1970-03-01	1319	4.4000001
1970-04-01	1264	4.5999999
1970-05-01	1290	4.8000002
1970-06-01	1385	4.9000001
1970-07-01	1517	5.0000000
1970-08-01	1399	5.0999999
1970-09-01	1534	5.4000001
1970-10-01	1580	5.5000000
1970-11-01	1647	5.9000001
1970-12-01	1893	6.0999999
1971-01-01	1828	5.9000001
1971-02-01	1741	5.9000001
1971-03-01	1910	6.0000000
1971-04-01	1986	5.9000001
1971-05-01	2049	5.9000001
1971-06-01	2026	5.9000001
1971-07-01	2083	6.0000000
1971-08-01	2158	6.0999999
1971-09-01	2041	6.0000000
1971-10-01	2128	5.8000002
1971-11-01	2182	6.0000000
1971-12-01	2295	6.0000000
1972-01-01	2494	5.8000002
1972-02-01	2390	5.6999998
1972-03-01	2334	5.8000002
1972-04-01	2249	5.6999998
1972-05-01	2221	5.6999998
1972-06-01	2254	5.6999998
1972-07-01	2252	5.5999999
1972-08-01	2382	5.5999999
1972-09-01	2481	5.5000000
1972-10-01	2485	5.5999999
1972-11-01	2421	5.3000002
1972-12-01	2366	5.1999998
1973-01-01	2481	4.9000001
1973-02-01	2289	5.0000000
1973-03-01	2365	4.9000001
1973-04-01	2084	5.0000000
1973-05-01	2266	4.9000001
1973-06-01	2067	4.9000001
1973-07-01	2123	4.8000002
1973-08-01	2051	4.8000002
1973-09-01	1874	4.8000002
1973-10-01	1677	4.5999999
1973-11-01	1724	4.8000002
1973-12-01	1526	4.9000001
1974-01-01	1451	5.0999999
1974-02-01	1752	5.1999998
1974-03-01	1555	5.0999999
1974-04-01	1607	5.0999999
1974-05-01	1426	5.0999999
1974-06-01	1513	5.4000001
1974-07-01	1316	5.5000000
1974-08-01	1142	5.5000000
1974-09-01	1150	5.9000001
1974-10-01	1070	6.0000000
1974-11-01	1026	6.5999999
1974-12-01	975	7.1999998
1975-01-01	1032	8.1000004
1975-02-01	904	8.1000004
1975-03-01	993	8.6000004
1975-04-01	1005	8.8000002
1975-05-01	1121	9.0000000
1975-06-01	1087	8.8000002
1975-07-01	1226	8.6000004
1975-08-01	1260	8.3999996
1975-09-01	1264	8.3999996
1975-10-01	1344	8.3999996
1975-11-01	1360	8.3000002
1975-12-01	1321	8.1999998
1976-01-01	1367	7.9000001
1976-02-01	1538	7.6999998
1976-03-01	1421	7.5999999
1976-04-01	1395	7.6999998
1976-05-01	1459	7.4000001
1976-06-01	1495	7.5999999
1976-07-01	1401	7.8000002
1976-08-01	1550	7.8000002
1976-09-01	1720	7.5999999
1976-10-01	1629	7.6999998
1976-11-01	1641	7.8000002
1976-12-01	1804	7.8000002
1977-01-01	1527	7.5000000
1977-02-01	1943	7.5999999
1977-03-01	2063	7.4000001
1977-04-01	1892	7.1999998
1977-05-01	1971	7.0000000
1977-06-01	1893	7.1999998
1977-07-01	2058	6.9000001
1977-08-01	2020	7.0000000
1977-09-01	1949	6.8000002
1977-10-01	2042	6.8000002
1977-11-01	2042	6.8000002
1977-12-01	2142	6.4000001
1978-01-01	1718	6.4000001
1978-02-01	1738	6.3000002
1978-03-01	2032	6.3000002
1978-04-01	2197	6.0999999
1978-05-01	2075	6.0000000
1978-06-01	2070	5.9000001
1978-07-01	2092	6.1999998
1978-08-01	1996	5.9000001
1978-09-01	1970	6.0000000
1978-10-01	1981	5.8000002
1978-11-01	2094	5.9000001
1978-12-01	2044	6.0000000
1979-01-01	1630	5.9000001
1979-02-01	1520	5.9000001
1979-03-01	1847	5.8000002
1979-04-01	1748	5.8000002
1979-05-01	1876	5.5999999
1979-06-01	1913	5.6999998
1979-07-01	1760	5.6999998
1979-08-01	1778	6.0000000
1979-09-01	1832	5.9000001
1979-10-01	1681	6.0000000
1979-11-01	1524	5.9000001
1979-12-01	1498	6.0000000
1980-01-01	1341	6.3000002
1980-02-01	1350	6.3000002
1980-03-01	1047	6.3000002
1980-04-01	1051	6.9000001
1980-05-01	927	7.5000000
1980-06-01	1196	7.5999999
1980-07-01	1269	7.8000002
1980-08-01	1436	7.6999998
1980-09-01	1471	7.5000000
1980-10-01	1523	7.5000000
1980-11-01	1510	7.5000000
1980-12-01	1482	7.1999998
1981-01-01	1547	7.5000000
1981-02-01	1246	7.4000001
1981-03-01	1306	7.4000001
1981-04-01	1360	7.1999998
1981-05-01	1140	7.5000000
1981-06-01	1045	7.5000000
1981-07-01	1041	7.1999998
1981-08-01	940	7.4000001
1981-09-01	911	7.5999999
1981-10-01	873	7.9000001
1981-11-01	837	8.3000002
1981-12-01	910	8.5000000
1982-01-01	843	8.6000004
1982-02-01	866	8.8999996
1982-03-01	931	9.0000000
1982-04-01	917	9.3000002
1982-05-01	1025	9.3999996
